,"Time      (s) efficiency_1,000e+00","Thrust    (N) efficiency_1,000e+00"
1857,1.8569999999999065,3688.688157369524
1858,1.8579999999999064,3688.597381282764
1859,1.858999999999906,3688.506604524944
1860,1.859999999999906,3688.415827096147
1861,1.8609999999999056,3688.325048996437
1862,1.8619999999999055,3688.234270225886
1863,1.8629999999999056,3688.143490784569
1864,1.8639999999999053,3688.0527106725567
1865,1.8649999999999052,3687.961929889924
1866,1.8659999999999053,3687.8711484367386
1867,1.8669999999999047,3687.78036631307
1868,1.867999999999905,3687.689583518984
1869,1.868999999999905,3687.59880005456
1870,1.8699999999999048,3687.508015919871
1871,1.8709999999999047,3687.417231114981
1872,1.8719999999999049,3687.3264456399615
1873,1.8729999999999043,3687.235659494891
1874,1.8739999999999044,3687.144872679833
1875,1.8749999999999043,3687.054085194856
1876,1.875999999999904,3686.963297040034
1877,1.876999999999904,3686.8725082154415
1878,1.877999999999904,3686.7817187211353
1879,1.878999999999904,3686.6909285572
1880,1.879999999999904,3686.600137723696
1881,1.880999999999904,3686.509346220695
1882,1.8819999999999035,3686.4185540482727
1883,1.8829999999999036,3686.327761206479
1884,1.8839999999999035,3686.236967695413
1885,1.8849999999999032,3686.146173515125
1886,1.885999999999903,3686.055378665684
1887,1.886999999999903,3685.964583147172
1888,1.8879999999999029,3685.8737869596384
1889,1.8889999999999028,3685.782990103173
1890,1.8899999999999024,3685.692192577828
1891,1.8909999999999023,3685.601394383682
1892,1.8919999999999024,3685.510595520813
1893,1.8929999999999023,3685.4197959892617
1894,1.8939999999999024,3685.328995789112
1895,1.894999999999902,3685.23819492044
1896,1.895999999999902,3685.1473933833
1897,1.8969999999999017,3685.056591177767
1898,1.8979999999999015,3684.96578830391
1899,1.8989999999999017,3684.8749847617946
1900,1.899999999999901,3684.784180551494
1901,1.9009999999999012,3684.693375673077
1902,1.901999999999901,3684.6025701265903
1903,1.9029999999999008,3684.511763912129
1904,1.903999999999901,3684.42095702975
1905,1.904999999999901,3684.330149479516
1906,1.9059999999999009,3684.239341261489
1907,1.9069999999999008,3684.148532375763
1908,1.9079999999999009,3684.0577228223688
1909,1.9089999999999008,3683.9669126014014
1910,1.9099999999999004,3683.876101712917
1911,1.9109999999999003,3683.785290156984
1912,1.9119999999999,3683.694477933664
1913,1.9129999999999,3683.603665043038
1914,1.9139999999999,3683.512851485145
1915,1.9149999999999,3683.4220372600794
1916,1.9159999999999,3683.3312223678968
1917,1.9169999999999,3683.240406808657
1918,1.9179999999999,3683.1495905824345
1919,1.9189999999998997,3683.058773689295
1920,1.9199999999998996,3682.967956129302
1921,1.9209999999998992,3682.8771379025175
1922,1.9219999999998991,3682.786319009015
