,time,ain1,ain2,ain4,ain5,ain8,ain9,ain11,ain12,ain13,LCM101_LOADCELL_ain1,PX309_OMEGA_ain2,PX309_OMEGA_ain4,PX309_OMEGA_ain5,thermocouple_AD8495_ain8,thermocouple_AD8495_ain9,LC101_200_ain11,thermocouple_AD8495_ain12,thermocouple_AD8495_ain13
99,0.24750000000005912,4.33443,3.22627,2.28959,0.49487,-1.20606,-2.58519,1.92326,-0.83941,-1.75872,3568.7504,645.25437,457.91838,98.97353,-491.21247,-767.03726,64.879,-417.88236,-601.7445
100,0.25,5.21522,3.23101,2.30349,0.47845,-1.21648,-2.60287,1.93684,-0.84194,-1.76314,4312.28512,646.20179,460.69747,95.68915,-493.29679,-770.57428,65.45737,-418.38765,-602.62876
101,0.25250000000005457,5.07563,3.23354,2.29086,0.49329,-1.20543,-2.5975,1.92452,-0.84352,-1.76188,4194.44993,646.70708,458.17103,98.65773,-491.08615,-769.50054,64.9328,-418.70346,-602.37611
102,0.25499999999999545,5.10532,3.23796,2.30001,0.49266,-1.21364,-2.60192,1.91031,-0.85331,-1.77704,4219.5099,647.59133,460.0027,98.5314,-492.72834,-770.3848,64.32754,-420.66145,-605.40785
103,0.25750000000005,4.70835,3.22501,2.28801,0.48287,-1.21743,-2.61013,1.9182,-0.85615,-1.78178,3884.39942,645.00173,457.60258,96.57341,-493.48627,-772.02699,64.66379,-421.2299,-606.35526
104,0.2599999999999909,4.70077,3.26985,2.28833,0.4936,-1.21648,-2.59719,1.91441,-0.85362,-1.77072,3878.00113,653.97061,457.66574,98.72089,-493.29679,-769.43738,64.50239,-420.72462,-604.14462
105,0.2625000000000455,5.30648,3.24459,2.28864,0.49487,-1.21869,-2.60256,1.91978,-0.84699,-1.77167,4389.33121,648.91772,457.7289,98.97353,-493.73892,-770.51112,64.73105,-419.39823,-604.33411
106,0.26499999999998636,6.09,3.23543,2.29149,0.4936,-1.20385,-2.58424,1.91284,-0.84699,-1.76251,5050.75453,647.08604,458.29735,98.72089,-490.77034,-766.84777,64.43514,-419.39823,-602.50243
107,0.2675000000000409,6.15,3.24143,2.29907,0.48918,-1.20259,-2.58392,1.92294,-0.84352,-1.76441,5101.40767,648.28611,459.81322,97.83663,-490.5177,-766.78461,64.86555,-418.70346,-602.8814
108,0.2699999999999818,4.59434,3.23511,2.2918,0.49613,-1.20606,-2.59782,1.92073,-0.85047,-1.76946,3788.15846,647.02288,458.36051,99.22618,-491.21247,-769.5637,64.7714,-420.093,-603.89198
109,0.2725000000000364,5.30017,3.24048,2.2877,0.49455,-1.20985,-2.59813,1.9081,-0.8552,-1.77578,4383.9993,648.09662,457.53941,98.91037,-491.9704,-769.62686,64.23338,-421.04042,-605.1552
110,0.27499999999997726,6.10737,3.23859,2.27822,0.49803,-1.22122,-2.60161,1.92041,-0.85236,-1.77736,5065.41728,647.71765,455.64458,99.60514,-494.24421,-770.32164,64.75795,-420.47197,-605.47101
111,0.27750000000003183,6.12063,3.23922,2.28612,0.49929,-1.2029,-2.58171,1.91726,-0.84225,-1.75935,5076.61429,647.84398,457.22361,99.85779,-490.58086,-766.34248,64.62344,-418.45081,-601.87082
112,0.2799999999999727,5.40754,3.23511,2.2997,0.49613,-1.2029,-2.58487,1.90747,-0.85141,-1.77009,4474.64175,647.02288,459.93954,99.22618,-490.58086,-766.97409,64.20648,-420.28249,-604.0183
113,0.2825000000000273,5.65892,3.24743,2.3038,0.49487,-1.21143,-2.59213,1.89168,-0.86468,-1.79157,4686.85174,649.48617,460.76063,98.97353,-492.28621,-768.4268,63.53396,-422.93526,-608.31326
114,0.28499999999996817,4.75382,3.24143,2.29591,0.49992,-1.21175,-2.60635,1.91757,-0.85583,-1.78178,3922.78916,648.28611,459.1816,99.98411,-492.34937,-771.26905,64.63689,-421.16674,-606.35526
115,0.28750000000002274,5.08605,3.24459,2.29843,0.50782,-1.21175,-2.60256,1.89768,-0.86499,-1.78778,4203.24758,648.91772,459.68689,101.56314,-492.34937,-770.51112,63.78952,-422.99842,-607.55533
116,0.2899999999999636,5.08763,3.23859,2.29528,0.49582,-1.20101,-2.58613,1.90083,-0.86057,-1.77925,4204.58056,647.71765,459.05528,99.16301,-490.20189,-767.22674,63.92403,-422.11416,-605.84998
117,0.2925000000000182,5.34786,3.23827,2.29717,0.50213,-1.20733,-2.59434,1.91094,-0.85489,-1.77957,4424.25521,647.65449,459.43425,100.42624,-491.46511,-768.86893,64.35444,-420.97726,-605.91314
