,Time      (s),Ullage       
8166,8.166000000000913,0.893483164310837
8167,8.167000000000913,0.8935433918253576
8168,8.168000000000912,0.8936036149574698
8169,8.169000000000912,0.8936638337074732
8170,8.170000000000911,0.8937240480756675
8171,8.17100000000091,0.8937842580623523
8172,8.17200000000091,0.8938444636678268
8173,8.17300000000091,0.8939046648923904
8174,8.174000000000909,0.8939648617363423
8175,8.175000000000908,0.8940250541999816
8176,8.176000000000908,0.8940852422836078
8177,8.177000000000907,0.8941454259875191
8178,8.178000000000907,0.894205605312015
8179,8.179000000000906,0.8942657802573939
8180,8.180000000000906,0.8943259508239546
8181,8.181000000000905,0.8943861170119957
8182,8.182000000000905,0.8944462788218157
8183,8.183000000000904,0.894506436253713
8184,8.184000000000903,0.8945665893079858
8185,8.185000000000903,0.8946267379849324
8186,8.186000000000902,0.894686882284851
8187,8.187000000000902,0.8947470222080397
8188,8.188000000000901,0.8948071577547962
8189,8.1890000000009,0.8948672889254186
8190,8.1900000000009,0.8949274157202044
8191,8.1910000000009,0.8949875381394514
8192,8.192000000000899,0.8950476561834574
8193,8.193000000000898,0.8951077698525195
8194,8.194000000000898,0.8951678791469353
8195,8.195000000000897,0.895227984067002
8196,8.196000000000897,0.895288084613017
8197,8.197000000000896,0.8953481807852773
8198,8.198000000000896,0.8954082725840798
8199,8.199000000000895,0.8954683600097216
8200,8.200000000000895,0.8955284430624996
8201,8.201000000000894,0.8955885217427104
8202,8.202000000000893,0.8956485960506507
8203,8.203000000000893,0.8957086659866171
8204,8.204000000000892,0.8957687315509062
8205,8.205000000000892,0.895828792743814
8206,8.206000000000891,0.8958888495656372
8207,8.20700000000089,0.8959489020166719
8208,8.20800000000089,0.8960089500972142
8209,8.20900000000089,0.8960689938075598
8210,8.210000000000889,0.8961290331480051
8211,8.211000000000888,0.8961890681188459
8212,8.212000000000888,0.8962490987203774
8213,8.213000000000887,0.8963091249528958
8214,8.214000000000887,0.8963691468166968
8215,8.215000000000886,0.8964291643120753
8216,8.216000000000886,0.8964891774393268
8217,8.217000000000885,0.8965491861987471
8218,8.218000000000885,0.8966091905906308
8219,8.219000000000884,0.8966691906152735
8220,8.220000000000883,0.8967291862729698
8221,8.221000000000883,0.8967891775640149
8222,8.222000000000882,0.8968491644887033
8223,8.223000000000882,0.8969091470473302
8224,8.224000000000881,0.89696912524019
8225,8.22500000000088,0.8970290990675772
8226,8.22600000000088,0.8970890685297863
8227,8.22700000000088,0.8971490336271117
8228,8.228000000000879,0.8972089943598476
8229,8.229000000000879,0.8972689507282885
8230,8.230000000000878,0.8973289027327283
8231,8.231000000000877,0.897388850373461
8232,8.232000000000877,0.8974487936507803
8233,8.233000000000876,0.8975087325649804
8234,8.234000000000876,0.8975686671163549
8235,8.235000000000875,0.8976285973051974
8236,8.236000000000875,0.8976885231318016
8237,8.237000000000874,0.8977484445964607
8238,8.238000000000874,0.8978083616994683
8239,8.239000000000873,0.8978682744411175
8240,8.240000000000872,0.8979281828217017
8241,8.241000000000872,0.8979880868415139
8242,8.242000000000871,0.8980479865008472
8243,8.24300000000087,0.8981078817999942
8244,8.24400000000087,0.8981677727392481
8245,8.24500000000087,0.8982276593189016
8246,8.246000000000869,0.8982875415392471
8247,8.247000000000869,0.8983474194005772
8248,8.248000000000868,0.8984072929031846
8249,8.249000000000867,0.8984671620473614
8250,8.250000000000867,0.8985270268334
8251,8.251000000000866,0.8985868872615925
8252,8.252000000000866,0.8986467433322313
8253,8.253000000000865,0.8987065950456081
8254,8.254000000000865,0.898766442402015
8255,8.255000000000864,0.8988262854017436
8256,8.256000000000864,0.8988861240450858
8257,8.257000000000863,0.8989459583323333
8258,8.258000000000862,0.8990057882637776
8259,8.259000000000862,0.8990656138397101
8260,8.260000000000861,0.8991254350604221
8261,8.26100000000086,0.899185251926205
8262,8.26200000000086,0.8992450644373501
8263,8.26300000000086,0.8993048725941484
8264,8.264000000000859,0.8993646763968908
8265,8.265000000000859,0.8994244758458684
8266,8.266000000000858,0.8994842709413718
8267,8.267000000000857,0.899544061683692
8268,8.268000000000857,0.8996038480731194
8269,8.269000000000856,0.8996636301099449
8270,8.270000000000856,0.8997234077944585
8271,8.271000000000855,0.8997831811269509
8272,8.272000000000855,0.8998429501077123
8273,8.273000000000854,0.8999027147370331
8274,8.274000000000854,0.8999624750152028
8275,8.275000000000853,0.9000222309425121
8276,8.276000000000852,0.9000819825192506
8277,8.277000000000852,0.9001417297457079
8278,8.278000000000851,0.9002014726221743
8279,8.27900000000085,0.9002612111489391
8280,8.28000000000085,0.9003209453262919
8281,8.28100000000085,0.9003806751545221
8282,8.28200000000085,0.9004404006339194
8283,8.283000000000849,0.9005001217647726
8284,8.284000000000848,0.9005598385473712
8285,8.285000000000847,0.9006195509820043
8286,8.286000000000847,0.9006792590689608
8287,8.287000000000846,0.9007389628085298
8288,8.288000000000846,0.900798662201
8289,8.289000000000845,0.90085835724666
8290,8.290000000000845,0.9009180479457988
8291,8.291000000000844,0.9009777342987048
8292,8.292000000000844,0.9010374163056664
8293,8.293000000000843,0.9010970939669724
8294,8.294000000000842,0.9011567672829104
8295,8.295000000000842,0.9012164362537688
8296,8.296000000000841,0.9012761008798362
8297,8.29700000000084,0.9013357611614
8298,8.29800000000084,0.9013954170987488
8299,8.29900000000084,0.90145506869217
8300,8.30000000000084,0.9015147159419512
8301,8.301000000000839,0.9015743588483802
8302,8.302000000000838,0.9016339974117448
8303,8.303000000000837,0.9016936316323324
8304,8.304000000000837,0.9017532615104304
8305,8.305000000000836,0.901812887046326
8306,8.306000000000836,0.901872508240306
8307,8.307000000000835,0.9019321250926584
8308,8.308000000000835,0.9019917376036696
8309,8.309000000000834,0.9020513457736268
8310,8.310000000000834,0.9021109496028168
8311,8.311000000000833,0.9021705490915264
8312,8.312000000000833,0.902230144240042
